side,interval,ce,n_infected,index,20,25,30,35,40,45,50
5,5,10,127,60,0.05,0.04,0.1,0.0857,0.125,0.1333,0.16
5,5,10,117,61,0.1,0.08,0.0667,0.1143,0.175,0.2,0.26
5,5,10,104,62,0.1,0.08,0.1667,0.2,0.2,0.2444,0.26
5,5,10,117,63,0.1,0.16,0.1333,0.1714,0.15,0.1778,0.2
5,5,10,98,64,0.05,0.04,0.0333,0.0571,0.1,0.1333,0.16
5,5,10,114,65,0.0,0.0,0.0667,0.0857,0.15,0.1778,0.2
5,5,10,101,66,0.05,0.16,0.2,0.2286,0.225,0.2444,0.26
5,5,10,90,67,0.05,0.04,0.0333,0.1429,0.15,0.1556,0.2
5,5,10,119,68,0.1,0.08,0.1,0.1429,0.125,0.1333,0.2
5,5,10,99,69,0.05,0.04,0.0667,0.0857,0.125,0.1778,0.18
5,5,10,131,70,0.2,0.16,0.1333,0.1714,0.175,0.1778,0.22
5,5,10,52,71,0.15,0.12,0.1,0.1429,0.15,0.1778,0.2
5,5,10,101,72,0.1,0.08,0.1,0.1143,0.15,0.1778,0.22
5,5,10,94,73,0.15,0.2,0.2,0.2571,0.275,0.3111,0.32
5,5,10,116,74,0.0,0.0,0.0,0.0,0.025,0.0889,0.12
5,5,10,116,75,0.05,0.04,0.0667,0.1429,0.175,0.2444,0.24
5,5,10,123,76,0.0,0.0,0.0667,0.1143,0.125,0.1556,0.2
5,5,10,103,77,0.15,0.12,0.1333,0.1143,0.175,0.2444,0.34
5,5,10,111,78,0.05,0.04,0.1,0.0857,0.1,0.1111,0.16
5,5,10,111,79,0.05,0.04,0.1,0.2,0.2,0.2,0.3
5,5,10,101,80,0.1,0.2,0.2,0.2857,0.275,0.3111,0.36
5,5,10,108,81,0.15,0.24,0.2333,0.2286,0.25,0.2444,0.28
5,5,10,82,82,0.05,0.04,0.1333,0.1143,0.1,0.1556,0.26
5,5,10,95,83,0.05,0.08,0.1,0.1429,0.175,0.2222,0.24
5,5,10,100,84,0.05,0.04,0.0667,0.1429,0.125,0.1778,0.3
5,5,10,120,85,0.05,0.12,0.1,0.2,0.2,0.2667,0.3
5,5,10,104,86,0.05,0.04,0.0667,0.2,0.275,0.2667,0.32
5,5,10,121,87,0.0,0.0,0.0333,0.0571,0.075,0.0889,0.14
5,5,10,118,88,0.0,0.0,0.0,0.0286,0.125,0.2,0.2
5,5,10,109,89,0.0,0.0,0.0,0.0286,0.075,0.0667,0.12
5,5,10,109,90,0.05,0.12,0.1667,0.1429,0.225,0.2667,0.34
5,5,10,118,91,0.1,0.08,0.1,0.0857,0.075,0.1778,0.16
5,5,10,62,92,0.0,0.04,0.0667,0.1429,0.175,0.2667,0.28
5,5,10,68,93,0.15,0.12,0.1,0.1429,0.125,0.1111,0.12
5,5,10,123,94,0.1,0.08,0.1,0.1143,0.1,0.1778,0.2
5,5,10,100,95,0.0,0.04,0.0667,0.0857,0.075,0.1556,0.2
5,5,10,120,96,0.1,0.08,0.1,0.0857,0.125,0.1778,0.22
5,5,10,108,97,0.15,0.12,0.1333,0.1429,0.125,0.1778,0.18
5,5,10,121,98,0.1,0.12,0.1667,0.1714,0.175,0.2222,0.26
5,5,10,119,99,0.1,0.08,0.1333,0.2,0.275,0.2889,0.34
5,10,10,143,0,1.0,0.88,0.8333,0.8,0.725,0.6667,0.64
5,10,10,131,1,0.0,0.0,0.0333,0.1143,0.15,0.1778,0.2
5,10,10,142,2,0.0,0.0,0.0333,0.0571,0.1,0.1556,0.22
5,10,10,140,3,0.0,0.0,0.0,0.0857,0.125,0.1778,0.2
5,10,10,127,4,0.0,0.04,0.0667,0.0857,0.1,0.1333,0.18
5,10,10,140,5,0.05,0.16,0.2333,0.3429,0.35,0.3778,0.36
5,10,10,137,6,0.05,0.04,0.0333,0.0857,0.075,0.0667,0.06
5,10,10,126,7,0.05,0.04,0.1,0.1714,0.225,0.2667,0.34
5,10,10,150,8,0.1,0.08,0.0667,0.0571,0.1,0.1333,0.14
5,10,10,155,9,0.0,0.12,0.2,0.3143,0.35,0.3778,0.34
5,10,10,138,10,0.0,0.0,0.0333,0.0286,0.125,0.1111,0.16
5,10,10,145,11,0.05,0.16,0.2,0.2571,0.25,0.2667,0.3
5,10,10,133,12,0.1,0.12,0.1667,0.2286,0.275,0.2889,0.32
5,10,10,170,13,0.1,0.08,0.2,0.2857,0.325,0.3556,0.32
5,10,10,145,14,0.05,0.04,0.0333,0.2286,0.225,0.2667,0.26
5,10,10,171,15,0.0,0.04,0.1667,0.1429,0.2,0.2222,0.22
5,10,10,155,16,0.1,0.12,0.1667,0.2286,0.25,0.2444,0.24
5,10,10,144,17,0.0,0.0,0.0,0.0286,0.025,0.0889,0.08
5,10,10,156,18,0.05,0.04,0.1333,0.2286,0.275,0.3111,0.32
5,10,10,151,19,0.1,0.08,0.1,0.2286,0.225,0.2444,0.24
5,10,10,159,20,0.1,0.08,0.0667,0.1429,0.2,0.2,0.22
5,10,10,145,21,0.1,0.16,0.2333,0.2857,0.25,0.2667,0.3
5,10,10,134,22,0.05,0.04,0.0333,0.0857,0.1,0.1778,0.2
5,10,10,146,23,0.05,0.16,0.2667,0.2857,0.3,0.3333,0.34
5,10,10,127,24,0.05,0.08,0.2,0.2571,0.275,0.2889,0.28
5,10,10,168,25,0.1,0.08,0.0667,0.1429,0.2,0.2222,0.22
5,10,10,151,26,0.1,0.08,0.1333,0.2,0.25,0.2444,0.26
5,10,10,141,27,0.05,0.12,0.1,0.0857,0.075,0.1111,0.12
